,name,party,votes,mandates
0,EDUARDO SUPLICY,PT,301446,1
1,MILTON LEITE,DEM,107957,6
2,TRIPOLI,PV,88843,6
3,CONTE LOPES,PP,80052,2
4,MARIO COVAS NETO,PSDB,75593,2
5,EDUARDO TUMA,PSDB,70273,2
6,ADILSON AMADEU,PTB,67071,4
7,SOUZA SANTOS,PRB,55924,3
8,RICARDO NUNES,PMDB,54692,2
9,CELSO JATENE,PR,53715,5
10,ELISEU GABRIEL,PSB,52355,4
11,RODRIGO GOULART,PSD,49364,1
12,FERNANDO HOLIDAY,DEM,48055,1
13,ATILIO FRANCISCO,PRB,46961,2
14,OTA,PSB,45915,2
15,SENIVAL MOURA,PT,45320,2
16,PATRICIA BEZERRA,PSDB,45285,2
17,JOÃO JORGE,PSDB,42404,1
18,AURÉLIO NOMURA,PSDB,41954,4
19,SONINHA,PPS,40113,2
20,EDIR SALES,PSD,39062,2
21,GILSON BARRETO,PSDB,38564,6
22,ANDRÉ SANTOS,PRB,37393,1
23,DANIEL ANNENBERG,PSDB,36983,1
24,ALFREDINHO,PT,36324,3
25,TONINHO PAIVA,PR,35219,5
26,JULIANA CARDOSO,PT,34949,3
27,SANDRA TADEU,DEM,34182,3
28,RUTE COSTA,PSD,33999,1
29,POLICE NETO,PSD,33537,3
30,DONATO,PT,32592,4
31,NOEMI NONATO,PR,32116,4
32,JAIR TATTO,PT,30989,2
33,GILBERTO NASCIMENTO JR,PSC,30382,1
34,ADRIANA RAMALHO,PSDB,29756,1
35,CAMILO CRISTÓFARO,PSB,29603,1
36,REIS,PT,29308,2
37,PAULO FRANGE,PTB,29242,5
38,RICARDO TEIXEIRA,PROS,28515,3
39,FABIO RIVA,PSDB,28041,1
40,GILBERTO NATALINI,PV,28006,4
41,ALESSANDRO GUEDES,PT,26780,1
42,ARSELINO TATTO,PT,26596,5
43,GEORGE HATO,PMDB,26104,2
44,ISAC FELIX,PR,25876,1
45,ALINE CARDOSO,PSDB,25769,1
46,CLAUDINHO DE SOUZA,PSDB,24923,1
47,DAVID SOARES,DEM,24892,2
48,DR. MILTON FERREIRA,PTN,21849,2
49,RINALDI DIGILIO,PRB,20916,1
50,JANAINA LIMA,NOVO,19425,1
51,CLAUDIO FONSECA,PPS,18444,3
52,TONINHO VESPOLI,PSOL,16012,2
53,ZÉ TURIN,PHS,14957,1
54,SÂMIA BOMFIM,PSOL,12464,1
